batsman,runs,ball,innings,dismissals,hundreds,fifties,thirties,highest_score,AVG,debut_year,final_year,matches
Samit Gohel,18,19,1,1,,,,18,18,2021/22,2021/22,1
Sams Alam,4,3,2,1,,,,4,4,2018/19,2018/19,2
Sanatombaroy Laiphangbam,0,3,1,1,,,,0,0,2021/22,2021/22,1
Sandeep Pattnaik,193,181,9,7,,2,,54,27.57142857,2018/19,2021/22,9
Sanjay Budhwar,0,3,1,0,,,,0,0,2015/16,2015/16,1
Sanjay Majumder,99,113,13,10,,,,27,9.9,2015/16,2023/24,13
Sanjay Raghunath,116,103,4,5,,1,1,63,23.2,2021/22,2022/23,4
Sanjay Yadav,499,424,24,22,,2,5,55,22.68181818,2017/18,2023/24,24
Sanju Samson,946,726,31,23,,11,4,87,41.13043478,2015/16,2023/24,31
Sankar Paul,71,78,5,4,,,,27,17.75,2020/21,2021/22,5
Santha Moorthy,4,8,1,1,,,,4,4,2020/21,2020/21,1
Sanvir Singh,226,126,12,4,,1,1,55,56.5,2021/22,2023/24,12
Saransh Jain,23,33,4,3,,,,11,7.666666667,2019/20,2023/24,4
Sarbeswar Mohanty,30,39,6,4,,,,16,7.5,2018/19,2021/22,6
Sarfaraz Ashraf,34,59,6,6,,,,15,5.666666667,2019/20,2019/20,6
Sarfaraz Khan,360,295,22,18,,2,3,53,20,2017/18,2023/24,22
Sarthak Ranjan,61,48,4,4,,,1,31,15.25,2015/16,2017/18,4
Sarul Kanwar,148,139,8,8,,1,1,50,18.5,2017/18,2021/22,8
Sarvesh Rohilla,48,48,4,4,,,,29,12,2017/18,2023/24,4
Satish Jangir,7,11,1,1,,,,7,7,2018/19,2018/19,1
Satyajeet Bachhav,51,56,11,6,,,,10,8.5,2018/19,2021/22,11
Saurabh Dubey,45,19,2,0,,,1,38,22.5,2015/16,2015/16,2
